Year,Month,State,Primary Mode,Etiology,Etiology Status,Water Exposure,Water Type,Animal Type
1971,2,California,Water,Copper,Confirmed,Drinking water,Community,
1971,6,Arkansas,Water,Hepatitis A,Confirmed,Drinking water,Other,
1971,6,Missouri,Water,Unknown,Suspected,Drinking water,Community,
1971,6,Alabama,Water,Selenium,Confirmed,Drinking water,Individual/Private,
1971,6,Vermont,Water,Unknown,Suspected,Drinking water,Community,
1971,6,Oregon,Water,Unknown,Suspected,Drinking water,Other,
1971,7,New Jersey,Water,Hepatitis A,Confirmed,Drinking water,Other,
1971,7,Mississippi,Water,Shigella sonnei,Confirmed,Drinking water,Community,
1971,7,Kentucky,Water,Unknown,Suspected,Drinking water,Other,
1971,7,California,Water,Unknown,Suspected,Drinking water,Community,
1971,8,New Jersey,Water,Shigella sonnei,Confirmed,Drinking water,Other,
1971,8,Oklahoma,Water,Hepatitis A,Confirmed,Drinking water,Individual/Private,
1971,8,New Mexico,Water,Unknown,Suspected,Other/Environmental water,,
1971,9,North Carolina,Water,Hepatitis A,Confirmed,Drinking water,Individual/Private,
1971,9,North Carolina,Water,Unknown,Suspected,Drinking water,Community,
1971,11,Oklahoma,Water,Hepatitis A,Confirmed,Drinking water,Community,
1971,11,New York,Water,Unknown,Suspected,Drinking water,Other,
1971,11,Alaska,Water,Shigella sonnei,Confirmed,Drinking water,Community,
1971,11,Texas,Water,Hepatitis A,Confirmed,Drinking water,Individual/Private,
1971,12,California,Water,Unknown,Suspected,Drinking water,Other,
1972,3,New York,Water,Unknown,Suspected,Drinking water,Other,
1972,3,Alaska,Water,Unknown,Suspected,Drinking water,Community,
1972,4,Indiana,Water,Shigella sonnei,Confirmed,Drinking water,Other,
1972,4,Colorado,Water,Unknown,Suspected,Drinking water,Other,
1972,4,Colorado,Water,Unknown,Suspected,Drinking water,Other,
1972,5,Oregon,Water,Unknown,Suspected,Drinking water,Other,
1972,5,Ohio,Water,Hepatitis A,Confirmed,Drinking water,Community,
1972,5,Minnesota,Water,Arsenic,Confirmed,Drinking water,Other,
1972,5,Illinois,Water,Unknown,Suspected,Drinking water,Other,
1972,5,Florida,Water,Unknown,Suspected,Drinking water,Other,
1972,5,Colorado,Water,Giardia duodenalis,Confirmed,Drinking water,Other,
1972,5,Colorado,Water,Giardia duodenalis,Confirmed,Drinking water,Other,
1972,5,California,Water,Unknown,Suspected,Drinking water,Other,
1972,6,Pennsylvania,Water,Fluoride,Confirmed,Drinking water,Other,
1972,6,Washington,Water,Salmonella enterica,Confirmed,Drinking water,Individual/Private,
1972,6,Maryland,Water,Unknown,Suspected,Drinking water,Other,
1972,6,Massachusetts,Water,Unknown,Suspected,Drinking water,Community,
1972,7,Ohio,Water,Hepatitis A,Confirmed,Drinking water,Community,
1972,7,Pennsylvania,Water,Hepatitis A,Confirmed,Drinking water,Other,
1972,8,Alabama,Water,Hepatitis A,Confirmed,Drinking water,Community,
1972,8,North Carolina,Water,Unknown,Suspected,Drinking water,Other,
1972,9,Tennessee,Water,Unknown,Suspected,Drinking water,Community,
1972,9,Washington,Water,Salmonella enterica,Confirmed,Other/Environmental water,,
1972,9,Utah,Water,Giardia duodenalis,Confirmed,Drinking water,Other,
1972,9,Hawaii,Water,Shigella sonnei,Confirmed,Drinking water,Other,
1972,10,Alabama,Water,Hepatitis A,Confirmed,Drinking water,Other,
1972,11,Iowa,Water,Shigella sonnei,Confirmed,Drinking water,Other,
1972,11,West Virginia,Water,Unknown,Suspected,Drinking water,Community,
1972,11,Florida,Water,Oil,Confirmed,Drinking water,Community,
1972,12,Colorado,Water,Giardia duodenalis,Confirmed,Drinking water,Community,
1973,2,Alabama,Water,Hepatitis A,Confirmed,Drinking water,Community,
1973,2,Florida,Water,Salmonella enterica,Confirmed,Drinking water,Other,
1973,3,New Jersey,Water,Unknown,Suspected,Drinking water,Commercially-Bottled,
1973,4,Maryland,Water,Salmonella enterica,Confirmed,Drinking water,Individual/Private,
1973,6,New Jersey,Water,Unknown,Suspected,Drinking water,Other,
1973,6,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1973,6,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1973,6,Arizona,Water,Shigella unknown,Confirmed,Drinking water,Individual/Private,
1973,6,Virginia,Water,Legionella pneumophila,Confirmed,Other/Environmental water,,
1973,7,Oregon,Water,Unknown,Suspected,Drinking water,Other,
1973,7,Alaska,Water,Shigella unknown,Confirmed,Drinking water,Community,
1973,7,Arkansas,Water,Unknown,Suspected,Drinking water,Other,
1973,7,Colorado,Water,Giardia duodenalis,Confirmed,Drinking water,Other,
1973,7,Ohio,Water,Hepatitis A,Confirmed,Drinking water,Other,
1973,7,Virginia,Water,Legionella pneumophila,Confirmed,Other/Environmental water,,
1973,8,Tennessee,Water,Giardia duodenalis,Confirmed,Drinking water,Individual/Private,
1973,8,New Jersey,Water,Unknown,Suspected,Drinking water,Other,
1973,8,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1973,8,Pennsylvania,Water,Shigella sonnei,Confirmed,Drinking water,Other,
1973,8,Arkansas,Water,Unknown,Suspected,Drinking water,Other,
1973,8,Connecticut,Water,Unknown,Suspected,Drinking water,Community,
1973,9,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1973,10,Florida,Water,Unknown,Suspected,Drinking water,Community,
1973,11,Vermont,Water,Giardia duodenalis,Confirmed,Drinking water,Community,
1973,12,Maryland,Water,Shigella unknown,Confirmed,Drinking water,Other,
1973,12,Vermont,Water,Giardia duodenalis,Confirmed,Drinking water,Community,
1973,12,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1974,1,Florida,Water,Shigella sonnei,Confirmed,Drinking water,Community,
1974,1,New Jersey,Water,Unknown,Suspected,Drinking water,Other,
1974,2,Oregon,Water,Oil,Confirmed,Drinking water,Community,
1974,3,Idaho,Water,Unknown,Suspected,Drinking water,Community,
1974,4,North Carolina,Water,Fluoride,Confirmed,Drinking water,Other,
1974,6,New Hampshire,Water,Giardia duodenalis,Confirmed,Drinking water,Community,
1974,6,Washington,Water,Salmonella enterica,Confirmed,Drinking water,Individual/Private,
1974,6,Colorado,Water,Giardia duodenalis,Confirmed,Drinking water,Other,
1974,7,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1974,7,Alaska,Water,Salmonella unknown,Confirmed,Drinking water,Community,
1974,7,Wisconsin,Water,Phenol,Confirmed,Drinking water,Individual/Private,
1974,7,Ohio,Water,Shigella unknown,Confirmed,Drinking water,Other,
1974,8,Colorado,Water,Unknown,Suspected,Drinking water,Other,
1974,8,Oregon,Water,Unknown,Suspected,Drinking water,Community,
1974,8,Oregon,Water,Unknown,Suspected,Drinking water,Community,
1974,8,Pennsylvania,Water,Shigella sonnei,Confirmed,Drinking water,Other,
1974,8,New Hampshire,Water,Unknown,Suspected,Other/Environmental water,,
1974,9,California,Water,Unknown,Suspected,Other/Environmental water,,
1974,9,Utah,Water,Giardia duodenalis,Confirmed,Other/Environmental water,,
1974,9,Pennsylvania,Water,Legionella pneumophila,Confirmed,Undetermined water,,
1974,9,New York,Water,Chromium,Confirmed,Drinking water,Community,
1974,10,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1974,11,New York,Water,Giardia duodenalis,Confirmed,Drinking water,Community,
1974,12,Montana,Water,Unknown,Suspected,Drinking water,Other,
1975,1,New Jersey,Water,Unknown,Suspected,Drinking water,Other,
1975,2,Massachusetts,Water,Hepatitis A,Confirmed,Other/Environmental water,,
1975,3,Puerto Rico,Water,Unknown,Suspected,Drinking water,Community,
1975,4,Indiana,Water,Unknown,Suspected,Drinking water,Community,
1975,4,New Jersey,Water,Unknown,Suspected,Drinking water,Community,
1975,5,California,Water,Unknown,Suspected,Drinking water,Other,
1975,5,Ohio,Water,Unknown,Suspected,Drinking water,Other,
1975,5,Louisiana,Water,Oil,Confirmed,Drinking water,Other,
1975,6,Oregon,Water,"Escherichia coli, Enterotoxigenic",Confirmed,Drinking water,Other,
1975,6,California,Water,Unknown,Suspected,Drinking water,Other,
1975,6,Arkansas,Water,Unknown,Suspected,Drinking water,Other,
1975,6,New Jersey,Water,herbicide,Confirmed,Drinking water,Community,
1975,6,Minnesota,Water,Unknown,Suspected,Drinking water,Other,
1975,7,Tennessee,Water,Unknown,Suspected,Drinking water,Other,
1975,7,California,Water,Unknown,Suspected,Drinking water,Other,
1975,7,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1975,8,Kansas,Water,Legionella unknown,Confirmed,Undetermined water,,
1975,8,Arkansas,Water,Unknown,Suspected,Drinking water,Other,
1975,8,Pennsylvania,Water,Unknown,Suspected,Drinking water,Community,
1975,8,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1975,8,Montana,Water,Shigella sonnei,Confirmed,Drinking water,Other,
1975,9,Louisiana,Water,Copper,Confirmed,Drinking water,Other,
1975,9,Idaho,Water,Giardia duodenalis,Confirmed,Other/Environmental water,,
1975,9,Oregon,Water,Unknown,Suspected,Drinking water,Other,
1975,10,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1975,10,South Carolina,Water,ethyl acrylate,Confirmed,Drinking water,Community,
1976,2,Colorado,Water,Giardia duodenalis,Confirmed,Drinking water,Other,
1976,2,Vermont,Water,Unknown,Suspected,Drinking water,Community,
1976,3,New York,Water,Salmonella unknown,Confirmed,Drinking water,Community,
1976,3,Tennessee,Water,Chlordane,Confirmed,Drinking water,Community,
1976,4,Oklahoma,Water,Unknown,Suspected,Drinking water,Other,
1976,4,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1976,4,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1976,5,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1976,5,Washington,Water,Giardia duodenalis,Confirmed,Drinking water,Community,
1976,5,California,Water,Unknown,Suspected,Drinking water,Other,
1976,5,California,Water,Unknown,Suspected,Drinking water,Community,
1976,5,Colorado,Water,Unknown,Suspected,Drinking water,Other,
1976,6,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1976,6,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1976,6,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1976,6,Idaho,Water,Unknown,Suspected,Drinking water,Other,
1976,6,Connecticut,Water,Unknown,Suspected,Drinking water,Other,
1976,6,Colorado,Water,Giardia duodenalis,Confirmed,Drinking water,Other,
1976,6,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1976,7,Pennsylvania,Water,Legionella unknown,Confirmed,Undetermined water,,
1976,7,Puerto Rico,Water,Shigella sonnei,Confirmed,Drinking water,Community,
1976,7,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1976,7,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1976,7,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1976,7,Massachusetts,Water,Unknown,Suspected,Drinking water,Other,
1976,7,California,Water,Unknown,Suspected,Other/Environmental water,,
1976,7,Arkansas,Water,Unknown,Suspected,Drinking water,Other,
1976,7,Arkansas,Water,Salmonella enterica,Confirmed,Drinking water,Other,
1976,8,Alaska,Water,Shigella flexneri,Confirmed,Drinking water,Community,
1976,8,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1976,10,New Jersey,Water,Unknown,Suspected,Drinking water,Other,
1976,10,Pennsylvania,Water,Unknown,Suspected,Drinking water,Individual/Private,
1976,11,Connecticut,Water,Legionella pneumophila,Confirmed,Other/Environmental water,,
1976,11,Florida,Water,Unknown,Suspected,Drinking water,Community,
1976,11,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1976,12,Colorado,Water,Unknown,Suspected,Drinking water,Other,
1977,1,Pennsylvania,Water,Gasoline,Confirmed,Drinking water,Individual/Private,
1977,1,Pennsylvania,Water,Unknown,Suspected,Drinking water,Community,
1977,1,Pennsylvania,Water,Shigella sonnei,Confirmed,Drinking water,Community,
1977,3,Vermont,Water,Copper,Confirmed,Drinking water,Community,
1977,4,New Hampshire,Water,Giardia duodenalis,Confirmed,Drinking water,Community,
1977,4,New Jersey,Water,Unknown,Suspected,Drinking water,Other,
1977,5,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1977,5,Vermont,Water,Legionella unknown,Confirmed,Undetermined water,,
1977,5,Texas,Water,Unknown,Suspected,Drinking water,Community,
1977,5,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1977,5,Indiana,Water,Legionella unknown,Confirmed,Undetermined water,,
1977,5,Illinois,Water,Unknown,Suspected,Drinking water,Other,
1977,5,California,Water,Legionella unknown,Confirmed,Undetermined water,,
1977,6,Virginia,Water,Legionella micdadei,Confirmed,Drinking water,Unknown,
1977,6,Utah,Water,Giardia duodenalis,Confirmed,Drinking water,Other,
1977,6,Minnesota,Water,Unknown,Suspected,Drinking water,Other,
1977,7,Montana,Water,Giardia duodenalis,Confirmed,Drinking water,Other,
1977,7,Montana,Water,Giardia duodenalis,Confirmed,Drinking water,Community,
1977,7,Maine,Water,Unknown,Suspected,Drinking water,Other,
1977,7,Iowa,Water,Salmonella unknown,Confirmed,Drinking water,Community,
1977,7,California,Water,Unknown,Suspected,Drinking water,Other,
1977,7,California,Water,Unknown,Suspected,Drinking water,Other,
1977,7,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1977,7,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1977,7,Ohio,Water,Legionella unknown,Confirmed,Undetermined water,,
1977,7,Wyoming,Water,Unknown,Suspected,Drinking water,Community,
1977,7,Washington,Water,Unknown,Suspected,Other/Environmental water,,
1977,7,South Carolina,Water,Hepatitis A,Confirmed,Drinking water,Other,
1977,8,Tennessee,Water,Legionella unknown,Confirmed,Undetermined water,,
1977,8,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1977,8,North Dakota,Water,Unknown,Suspected,Drinking water,Community,
1977,8,California,Water,Unknown,Suspected,Drinking water,Other,
1977,9,California,Water,Unknown,Suspected,Other/Environmental water,,
1977,10,Connecticut,Water,Copper,Confirmed,Drinking water,Community,
1977,10,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1977,11,Michigan,Water,Fluoride,Confirmed,Drinking water,Community,
1977,11,Pennsylvania,Water,Copper,Confirmed,Drinking water,Other,
1978,2,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1978,2,Montana,Water,Pseudomonas unknown,Confirmed,Recreational water -- treated,Pool - Other Swimming Pool,
1978,3,Colorado,Water,Giardia duodenalis,Confirmed,Drinking water,Community,
1978,4,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1978,5,New York,Water,Shigella unknown,Confirmed,Drinking water,Other,
1978,5,Missouri,Water,Unknown,Suspected,Drinking water,Other,
1978,5,Oregon,Water,Shigella sonnei,Confirmed,Drinking water,Community,
1978,5,Washington,Water,Norovirus other,Confirmed,Drinking water,Other,
1978,5,Vermont,Water,Campylobacter jejuni,Confirmed,Drinking water,Community,
1978,5,Pennsylvania,Water,Norovirus other,Confirmed,Drinking water,Other,
1978,6,Pennsylvania,Water,Shigella sonnei,Confirmed,Drinking water,Other,
1978,6,Colorado,Water,Unknown,Suspected,Drinking water,Other,
1978,7,Georgia,Water,Legionella pneumophila,Confirmed,Other/Environmental water,,
1978,7,California,Water,,,Recreational water -- treated,Pool - Other Swimming Pool,
1978,7,Utah,Water,Giardia duodenalis,Confirmed,Other/Environmental water,,
1978,7,Tennessee,Water,Unknown,Suspected,Other/Environmental water,,
1978,7,Pennsylvania,Water,Norovirus other,Confirmed,Drinking water,Other,
1978,7,Oregon,Water,Unknown,Suspected,Drinking water,Community,
1978,7,New York,Water,Unknown,Suspected,Drinking water,Other,
1978,7,Maryland,Water,Shigella flexneri,Confirmed,Drinking water,Community,
